"farmer_ID","trader_ID","MCC_ID","today","district","farmer.tot_prod","farmer.tot_sold","farmer.tot_sold_trader","farmer.trader_link","farmer.rejected_week","farmer.rejected_month","farmer.bett_prc","farmer.used_bran","farmer.used_residu","farmer.used_lick","farmer.used_cgrazing","treat","q_sold_1","q_sold_2","q_sold_3","q_sold_4","q_sold_5","q_sold_6","checked_1","checked_2","checked_3","checked_4","checked_5","checked_6","checked_how_1","checked_how_2","checked_how_3","checked_how_4","checked_how_5","checked_how_6","p_sold_1","p_sold_2","p_sold_3","p_sold_4","p_sold_5","p_sold_6"
"F_327","T_016","MCC_005","2025-12-05","Kazo",20,10,10,6,0,0,2,2,2,2,2,1,10,10,10,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,800,800,800,NA,NA,NA
"F_079","T_016","MCC_005","2025-12-05","Kazo",20,15,15,6,0,0,2,2,2,1,1,1,15,18,15,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,800,800,800,NA,NA,NA
"F_223","T_016","MCC_005","2025-12-05","Kazo",20,13,13,6,0,0,2,2,2,2,2,1,13,15,13,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_415","T_016","MCC_005","2025-12-05","Kazo",35,30,30,6,0,0,2,2,2,2,1,1,30,35,30,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,800,800,800,NA,NA,NA
"F_323","T_017","MCC_008","2025-12-04","Kiruhura",44,34,24,4,0,0,2,2,2,2,1,0,22,24,23,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_336","T_017","MCC_008","2025-12-04","Kiruhura",100,76,76,4,0,0,2,2,2,2,2,0,80,70,76,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_214","T_018","MCC_015","2025-12-03","Kiruhura",80,60,60,5,0,0,2,2,2,1,1,1,60,60,55,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_417","T_018","MCC_015","2025-12-03","Kiruhura",150,120,120,4,0,0,2,2,2,1,1,1,100,120,100,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_133","T_018","MCC_015","2025-12-03","Kiruhura",28,25,25,5,0,0,2,2,2,1,1,1,25,40,30,NA,NA,NA,2,1,1,NA,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,950,950,900,NA,NA,NA
"F_033","T_018","MCC_015","2025-12-03","Kiruhura",160,130,130,5,0,0,2,2,1,1,2,1,130,130,130,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_001","T_018","MCC_015","2025-12-03","Kiruhura",130,125,125,4,0,0,2,2,2,2,2,1,120,120,130,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008,1000,1000,NA,NA,NA
"F_318","T_019","MCC_014","2025-12-04","Kiruhura",30,25,25,6,0,0,2,2,2,1,2,0,22,21,22,NA,NA,NA,1,2,2,NA,NA,NA,"Lactometer",NA,NA,NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_216","T_020","MCC_007","2025-12-03","Kiruhura",470,450,450,5,0,0,2,1,2,2,1,1,450,430,450,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,1100,1100,NA,NA,NA
"F_016","T_020","MCC_007","2025-12-03","Kiruhura",53,45,45,5,0,0,2,2,2,1,1,1,40,42,45,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_150","T_020","MCC_007","2025-12-03","Kiruhura",150,120,120,5,0,0,2,2,2,2,2,1,100,100,120,NA,NA,NA,2,1,2,NA,NA,NA,NA,"Lactometer",NA,NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_182","T_020","MCC_007","2025-12-03","Kiruhura",200,160,160,5,0,0,2,1,2,2,2,1,160,170,170,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,1000,NA,NA,NA
"F_160","T_021","MCC_015","2025-12-03","Kiruhura",165,153,153,5,0,0,2,2,2,1,1,0,153,145,118,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_344","T_021","MCC_015","2025-12-03","Kiruhura",80,50,50,6,0,0,2,2,1,1,2,0,50,50,50,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,950,950,950,NA,NA,NA
"F_053","T_021","MCC_015","2025-12-03","Kiruhura",185,150,150,5,0,0,2,2,2,1,2,0,120,140,150,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_197","T_022","MCC_005","2025-12-05","Kazo",90,85,85,5,0,0,2,2,2,2,1,0,70,80,60,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,875,875,875,NA,NA,NA
"F_166","T_022","MCC_005","2025-12-05","Kazo",55,52,52,6,0,0,2,1,2,2,1,0,53,50,51,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_039","T_022","MCC_005","2025-12-05","Kazo",35,30,30,5,0,0,2,2,1,1,1,0,30,30,30,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,850,850,NA,NA,NA
"F_187","T_022","MCC_005","2025-12-05","Kazo",118,110,100,6,0,0,2,2,2,2,2,0,110,115,114,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_209","T_022","MCC_005","2025-12-05","Kazo",35,30,30,6,0,0,2,2,2,2,2,0,33,30,32,NA,NA,NA,1,1,2,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,NA,850,850,850,NA,NA,NA
"F_278","T_023","MCC_005","2025-12-05","Kazo",20,17,17,4,0,0,2,2,2,2,2,1,15,16,17,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,800,800,800,NA,NA,NA
"F_262","T_023","MCC_005","2025-12-05","Kazo",12,10,10,4,0,0,2,2,2,2,2,1,10,10,10,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,850,850,850,NA,NA,NA
"F_387","T_023","MCC_005","2025-12-06","Kazo",20,15,8,5,0,0,2,2,2,2,2,1,8,7,10,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_212","T_023","MCC_005","2025-12-05","Kazo",8,5,5,6,0,0,2,2,1,2,1,1,6,6,6,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,850,850,850,NA,NA,NA
"F_103","T_023","MCC_005","2025-12-05","Kazo",25,20,20,4,0,0,2,2,2,2,2,1,20,18,17,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_314","T_024","MCC_005","2025-12-05","Kazo",60,52,52,6,0,0,2,2,2,2,1,0,45,45,48,NA,NA,NA,1,1,2,NA,NA,NA,"Lactometer","Lactometer",NA,NA,NA,NA,850,850,850,NA,NA,NA
"F_264","T_024","MCC_005","2025-12-05","Kazo",150,139,139,4,0,0,2,1,2,2,1,0,139,145,149,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,NA,NA,NA
"F_087","T_024","MCC_005","2025-12-05","Kazo",51,42,42,4,0,0,2,2,2,1,1,0,42,55,45,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_100","T_024","MCC_005","2025-12-05","Kazo",130,115,115,4,0,0,2,2,2,1,1,0,115,115,113,NA,NA,NA,1,1,1,NA,NA,NA,"Lactometer","Lactometer","Lactometer",NA,NA,NA,900,900,900,NA,NA,NA
"F_387","T_024","MCC_005","2025-12-05","Kazo",13,10,10,5,0,0,2,2,2,2,1,0,NA,NA,NA,10,10,10,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,850,850
"F_119","T_024","MCC_005","2025-12-05","Kazo",36,30,30,6,0,0,2,2,2,2,1,0,27,28,30,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,850,850,850,NA,NA,NA
"F_122","T_025","MCC_014","2025-12-05","Kiruhura",20,18,18,6,0,0,2,2,2,2,2,0,17,15,20,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,"Lactometer",NA,NA,NA,950,900,1000,NA,NA,NA
"F_102","T_025","MCC_014","2025-12-04","Kiruhura",10,10,10,6,0,0,2,2,2,2,2,0,9,8,6,NA,NA,NA,1,2,2,NA,NA,NA,"Lactometer",NA,NA,NA,NA,NA,900,900,900,NA,NA,NA
"F_295","T_026","MCC_002","2025-12-04","Kiruhura",60,55,5,5,0,0,2,2,2,1,2,0,6,6,6,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,1100,1100,NA,NA,NA
"F_231","T_026","MCC_002","2025-12-04","Kiruhura",25,18,18,5,0,0,2,2,2,1,2,0,16,18,16,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,1000,NA,NA,NA
